tenure,monthly_charges,total_charges,contract_type,customer_support_calls,internet_service,online_security,tech_support,payment_method,paperless_billing,churn
27,58.99,1592.8,Month-to-month,9,Fiber optic,Yes,Yes,Mailed check,Yes,1
36,95.63,3442.67,Two year,4,Fiber optic,Yes,No,Bank transfer,Yes,0
29,24.58,712.79,Month-to-month,5,No,No,Yes,Electronic check,No,1
38,94.48,3590.24,Month-to-month,8,Fiber optic,Yes,Yes,Electronic check,Yes,1
57,24.04,1370.31,Two year,9,DSL,No,No,Bank transfer,Yes,1
27,63.78,1722.18,Month-to-month,0,No,No,Yes,Electronic check,No,1
55,91.24,5017.94,One year,9,DSL,Yes,No,Credit card,No,1
33,41.02,1353.58,Month-to-month,2,DSL,No,No,Bank transfer,Yes,1
68,57.78,3929.03,One year,8,Fiber optic,No,No,Credit card,No,1
66,45.95,3032.46,Month-to-month,0,Fiber optic,Yes,Yes,Credit card,Yes,0
10,96.17,961.72,Two year,0,DSL,No,Yes,Credit card,Yes,0
5,85.89,429.46,Month-to-month,0,Fiber optic,Yes,Yes,Electronic check,No,1
38,76.72,2915.36,Month-to-month,6,Fiber optic,No,Yes,Mailed check,Yes,1
13,67.01,871.13,One year,4,DSL,No,Yes,Mailed check,Yes,0
31,85.65,2655.07,Two year,5,Fiber optic,Yes,No,Mailed check,Yes,0
47,51.38,2414.92,Month-to-month,7,DSL,Yes,No,Credit card,Yes,1
52,55.8,2901.82,Two year,1,Fiber optic,No,Yes,Bank transfer,Yes,1
56,78.4,4390.41,Month-to-month,1,DSL,Yes,Yes,Credit card,No,0
15,48.62,729.31,One year,2,Fiber optic,Yes,No,Credit card,Yes,0
29,25.11,728.25,Month-to-month,2,DSL,No,Yes,Bank transfer,Yes,1
8,25.95,207.57,One year,2,Fiber optic,Yes,No,Mailed check,Yes,1
5,29.23,146.15,Month-to-month,3,No,No,Yes,Mailed check,Yes,1
29,89.57,2597.66,Month-to-month,2,No,Yes,No,Mailed check,Yes,1
47,57.78,2715.57,Month-to-month,1,DSL,No,No,Credit card,Yes,1
68,77.03,5238.08,Month-to-month,8,DSL,Yes,No,Credit card,Yes,1
45,51.43,2314.47,Two year,5,Fiber optic,Yes,Yes,Electronic check,Yes,1
2,40.7,81.39,Two year,2,Fiber optic,No,Yes,Mailed check,No,0
27,47.78,1289.94,One year,8,No,No,No,Credit card,Yes,1
36,83.53,3007.25,Month-to-month,3,Fiber optic,No,No,Electronic check,Yes,1
36,70.02,2520.62,Month-to-month,3,Fiber optic,Yes,No,Credit card,Yes,1
26,95.01,2470.29,One year,7,DSL,No,No,Credit card,Yes,1
43,74.38,3198.18,Two year,6,Fiber optic,No,Yes,Mailed check,Yes,1
27,65.61,1771.59,Month-to-month,6,DSL,No,Yes,Bank transfer,Yes,1
69,68.82,4748.28,Two year,9,DSL,No,Yes,Credit card,Yes,1
20,95.39,1907.79,Two year,6,Fiber optic,No,No,Credit card,Yes,1
11,83.06,913.62,Two year,9,Fiber optic,No,Yes,Credit card,Yes,1
38,21.92,833.09,Month-to-month,4,DSL,No,Yes,Mailed check,Yes,1
6,62.73,376.39,Month-to-month,6,DSL,No,No,Credit card,Yes,1
23,75.07,1726.54,Month-to-month,3,DSL,Yes,No,Electronic check,No,0
47,79.9,3755.11,One year,7,Fiber optic,Yes,No,Mailed check,No,1
46,37.05,1704.36,Month-to-month,8,DSL,Yes,No,Electronic check,No,1
12,89.37,1072.49,Month-to-month,2,Fiber optic,No,No,Mailed check,Yes,1
13,96.47,1254.08,One year,6,DSL,Yes,Yes,Credit card,Yes,0
62,38.94,2414.11,Month-to-month,9,Fiber optic,Yes,Yes,Credit card,Yes,1
60,90.61,5436.55,Month-to-month,8,DSL,Yes,No,Electronic check,Yes,1
43,27.76,1193.61,One year,0,DSL,No,No,Electronic check,Yes,1
68,24.46,1663.05,One year,1,Fiber optic,No,No,Mailed check,Yes,1
5,30.34,151.69,One year,6,Fiber optic,No,Yes,Mailed check,Yes,1
37,24.62,910.91,Month-to-month,1,DSL,Yes,No,Bank transfer,Yes,1
31,87.6,2715.63,One year,6,Fiber optic,No,No,Bank transfer,Yes,1
9,24.72,222.52,One year,0,Fiber optic,Yes,Yes,Bank transfer,Yes,0
51,41.73,2128.39,Month-to-month,2,DSL,No,No,Credit card,Yes,1
29,28.3,820.71,One year,4,DSL,Yes,Yes,Electronic check,Yes,0
40,43.63,1745.35,Month-to-month,5,Fiber optic,No,No,Electronic check,Yes,1
41,27.24,1117.04,Month-to-month,8,Fiber optic,Yes,No,Bank transfer,Yes,1
11,73.44,807.84,Month-to-month,8,DSL,No,No,Bank transfer,Yes,1
23,30.67,705.32,Month-to-month,2,DSL,Yes,No,Mailed check,Yes,1
1,88.15,88.15,Month-to-month,7,Fiber optic,Yes,Yes,Bank transfer,Yes,1
46,85.38,3927.26,Two year,3,No,No,No,Electronic check,Yes,0
21,21.09,442.95,Month-to-month,6,Fiber optic,Yes,No,Mailed check,No,1
36,91.66,3299.69,Two year,5,DSL,No,No,Bank transfer,No,1
54,22.32,1205.04,One year,7,Fiber optic,No,Yes,Credit card,No,1
57,39.17,2232.78,Month-to-month,5,DSL,No,No,Bank transfer,Yes,1
1,22.59,22.59,Month-to-month,3,DSL,Yes,Yes,Credit card,Yes,1
63,46.87,2952.65,One year,1,Fiber optic,No,Yes,Bank transfer,Yes,1
54,61.11,3299.9,One year,6,No,No,No,Mailed check,No,1
55,83.73,4605.24,Month-to-month,3,Fiber optic,No,No,Credit card,No,1
40,47.04,1881.54,Month-to-month,8,DSL,Yes,No,Credit card,No,1
15,76.44,1146.59,One year,8,Fiber optic,Yes,No,Mailed check,Yes,1
21,35.0,735.01,Month-to-month,6,DSL,Yes,Yes,Credit card,Yes,1
47,80.05,3762.25,Two year,4,DSL,No,No,Mailed check,Yes,1
53,38.88,2060.63,One year,2,No,No,Yes,Bank transfer,No,0
9,31.48,283.35,Month-to-month,2,No,No,No,Mailed check,Yes,1
52,34.83,1811.3,Month-to-month,8,DSL,No,No,Mailed check,Yes,1
57,34.57,1970.21,Month-to-month,8,DSL,No,No,Mailed check,Yes,1
26,61.03,1586.75,Two year,3,DSL,Yes,No,Mailed check,No,0
41,87.58,3590.94,Month-to-month,0,Fiber optic,No,No,Electronic check,Yes,1
35,26.37,922.89,Month-to-month,9,Fiber optic,No,No,Credit card,No,1
63,76.56,4823.06,One year,4,DSL,No,Yes,Bank transfer,Yes,0
25,72.35,1808.69,Month-to-month,7,Fiber optic,Yes,Yes,Mailed check,Yes,1
38,89.8,3412.46,Month-to-month,9,DSL,No,No,Electronic check,Yes,1
2,39.53,79.06,Two year,3,DSL,Yes,Yes,Electronic check,No,0
7,56.01,392.06,Month-to-month,9,Fiber optic,Yes,No,Bank transfer,No,1
34,94.07,3198.25,Two year,9,Fiber optic,No,Yes,Credit card,Yes,1
17,72.8,1237.59,Two year,3,DSL,Yes,Yes,Bank transfer,Yes,0
43,51.1,2197.36,Month-to-month,8,DSL,No,No,Mailed check,Yes,1
59,30.51,1800.27,Month-to-month,8,DSL,Yes,No,Credit card,Yes,1
51,41.0,2090.94,Month-to-month,6,Fiber optic,No,No,Credit card,Yes,1
54,66.5,3590.85,One year,9,DSL,No,Yes,Bank transfer,Yes,1
24,77.45,1858.88,Month-to-month,7,Fiber optic,No,Yes,Bank transfer,Yes,1
25,29.95,748.84,Two year,3,DSL,No,No,Credit card,Yes,0
71,67.97,4825.71,One year,7,DSL,No,No,Bank transfer,No,1
52,64.03,3329.46,Month-to-month,5,Fiber optic,No,No,Credit card,No,1
70,61.12,4278.15,One year,2,DSL,Yes,Yes,Bank transfer,Yes,0
33,75.21,2481.93,Month-to-month,6,Fiber optic,Yes,No,Credit card,Yes,1
49,87.0,4262.8,Two year,2,Fiber optic,No,No,Mailed check,No,1
29,45.84,1329.34,One year,6,Fiber optic,No,No,Electronic check,Yes,1
63,91.12,5740.62,Month-to-month,4,DSL,No,Yes,Bank transfer,Yes,1
22,32.85,722.72,Month-to-month,3,Fiber optic,Yes,No,Credit card,No,1
26,33.84,879.89,Two year,2,DSL,Yes,No,Electronic check,No,0
28,41.34,1157.57,One year,7,No,Yes,No,Electronic check,No,0
49,29.56,1448.56,Two year,3,Fiber optic,No,No,Electronic check,Yes,1
71,38.43,2728.21,Month-to-month,7,DSL,Yes,No,Bank transfer,Yes,1
49,28.51,1397.13,Month-to-month,9,DSL,Yes,No,Bank transfer,Yes,1
20,85.74,1714.8,Month-to-month,2,Fiber optic,Yes,No,Mailed check,Yes,1
63,31.12,1960.4,One year,9,No,No,No,Bank transfer,Yes,1
61,79.78,4866.81,Month-to-month,8,Fiber optic,No,No,Bank transfer,Yes,1
49,23.83,1167.82,Month-to-month,5,Fiber optic,No,No,Bank transfer,Yes,1
71,95.88,6807.6,One year,4,Fiber optic,Yes,Yes,Electronic check,Yes,0
1,76.89,76.89,One year,4,Fiber optic,Yes,Yes,Mailed check,No,0
13,20.54,267.07,Month-to-month,2,DSL,No,No,Electronic check,Yes,1
51,81.11,4136.53,Month-to-month,1,DSL,No,Yes,Mailed check,Yes,1
56,61.13,3423.09,One year,5,Fiber optic,No,No,Bank transfer,Yes,1
62,82.35,5105.65,Month-to-month,0,Fiber optic,No,No,Credit card,Yes,1
32,61.8,1977.59,Month-to-month,6,Fiber optic,No,No,Bank transfer,Yes,1
30,71.28,2138.46,Month-to-month,4,DSL,Yes,No,Electronic check,No,1
29,82.91,2404.29,One year,3,Fiber optic,Yes,No,Electronic check,Yes,0
49,52.41,2568.02,Two year,8,DSL,Yes,Yes,Electronic check,Yes,0
45,20.22,909.75,Month-to-month,9,Fiber optic,No,Yes,Mailed check,Yes,1
30,88.0,2639.87,Month-to-month,0,Fiber optic,No,No,Electronic check,Yes,1
16,50.47,807.54,Two year,3,DSL,No,No,Credit card,Yes,0
40,59.68,2387.34,Two year,2,Fiber optic,Yes,No,Credit card,No,1
19,20.62,391.81,One year,5,Fiber optic,No,Yes,Bank transfer,No,1
18,59.37,1068.61,Two year,4,Fiber optic,No,Yes,Mailed check,No,1
1,98.92,98.92,One year,6,DSL,No,No,Mailed check,Yes,1
47,42.26,1986.29,One year,0,DSL,No,No,Bank transfer,No,1
66,51.63,3407.81,Month-to-month,4,DSL,No,No,Electronic check,Yes,1
38,74.98,2849.06,Month-to-month,1,DSL,Yes,No,Electronic check,No,0
51,85.18,4344.36,Month-to-month,1,DSL,No,No,Bank transfer,Yes,1
63,53.39,3363.65,Two year,1,DSL,Yes,Yes,Bank transfer,No,0
4,44.77,179.09,Two year,8,Fiber optic,No,Yes,Bank transfer,Yes,1
1,95.03,95.03,One year,9,No,Yes,No,Bank transfer,No,1
8,74.17,593.37,Month-to-month,2,No,Yes,No,Mailed check,Yes,1
29,29.52,856.13,Month-to-month,3,No,Yes,Yes,Mailed check,Yes,1
55,25.51,1403.28,Month-to-month,4,Fiber optic,Yes,Yes,Electronic check,Yes,0
3,58.68,176.05,Month-to-month,3,Fiber optic,Yes,No,Mailed check,Yes,1
32,37.61,1203.43,One year,3,DSL,No,Yes,Mailed check,Yes,1
10,40.32,403.19,Two year,4,DSL,Yes,No,Mailed check,Yes,0
34,90.22,3067.32,Month-to-month,9,Fiber optic,No,No,Bank transfer,Yes,1
55,27.17,1494.09,Month-to-month,8,Fiber optic,Yes,Yes,Mailed check,Yes,1
32,77.23,2471.33,One year,8,Fiber optic,No,No,Electronic check,Yes,1
50,41.69,2084.57,Month-to-month,5,Fiber optic,Yes,Yes,Mailed check,Yes,1
7,80.83,565.78,Two year,2,DSL,Yes,Yes,Bank transfer,Yes,0
8,77.79,622.34,Month-to-month,5,Fiber optic,Yes,Yes,Mailed check,Yes,1
65,20.59,1338.44,Month-to-month,9,Fiber optic,No,No,Credit card,Yes,1
57,60.73,3461.66,Month-to-month,3,No,Yes,No,Electronic check,No,1
67,31.15,2086.75,Month-to-month,2,No,No,Yes,Mailed check,No,1
59,89.3,5268.59,One year,5,Fiber optic,No,No,Electronic check,No,1
54,89.73,4845.25,Month-to-month,5,DSL,No,Yes,Bank transfer,Yes,1
67,53.47,3582.33,Month-to-month,1,DSL,No,No,Electronic check,No,1
51,55.55,2833.13,Month-to-month,8,DSL,No,No,Credit card,Yes,1
8,44.26,354.1,Month-to-month,7,Fiber optic,No,No,Credit card,Yes,1
34,77.33,2629.17,Month-to-month,5,DSL,Yes,Yes,Electronic check,No,0
35,48.69,1704.25,One year,0,DSL,No,Yes,Bank transfer,No,0
32,41.42,1325.55,One year,1,DSL,Yes,No,Electronic check,No,0
46,54.58,2510.61,Two year,3,No,No,Yes,Mailed check,Yes,1
16,27.32,437.1,Month-to-month,6,Fiber optic,No,No,Mailed check,Yes,1
68,79.73,5421.52,Month-to-month,8,Fiber optic,No,Yes,Electronic check,Yes,1
37,21.01,777.29,Month-to-month,9,DSL,No,No,Mailed check,Yes,1
54,71.56,3864.18,Month-to-month,4,DSL,Yes,No,Mailed check,No,1
14,34.63,484.81,One year,9,DSL,Yes,No,Bank transfer,Yes,0
55,38.59,2122.58,Two year,1,Fiber optic,No,No,Electronic check,Yes,1
48,70.85,3400.83,One year,0,Fiber optic,No,No,Mailed check,Yes,1
7,99.44,696.05,Month-to-month,9,Fiber optic,Yes,Yes,Electronic check,Yes,1
7,82.22,575.52,Month-to-month,0,DSL,No,No,Electronic check,No,1
33,38.07,1256.22,Two year,4,Fiber optic,No,Yes,Mailed check,Yes,1
23,34.08,783.89,Month-to-month,6,Fiber optic,No,No,Bank transfer,Yes,1
19,89.3,1696.67,Month-to-month,8,DSL,No,No,Bank transfer,Yes,1
19,55.53,1055.16,Two year,8,DSL,No,Yes,Credit card,Yes,1
36,30.96,1114.71,One year,7,Fiber optic,No,No,Electronic check,No,1
29,88.98,2580.33,One year,0,Fiber optic,No,Yes,Credit card,Yes,1
60,85.29,5117.24,Month-to-month,4,No,No,No,Bank transfer,Yes,1
2,98.71,197.43,Month-to-month,5,Fiber optic,No,No,Mailed check,Yes,1
1,92.78,92.78,Month-to-month,5,DSL,No,Yes,Mailed check,No,1
47,88.14,4142.73,One year,3,Fiber optic,Yes,Yes,Bank transfer,Yes,1
69,24.21,1670.21,Month-to-month,0,DSL,No,No,Bank transfer,No,1
20,28.35,567.06,Two year,2,Fiber optic,No,Yes,Electronic check,Yes,1
11,65.52,720.71,Two year,9,Fiber optic,No,Yes,Credit card,No,1
2,62.52,125.04,One year,3,Fiber optic,Yes,No,Credit card,Yes,0
67,56.64,3794.68,Month-to-month,3,Fiber optic,No,No,Bank transfer,Yes,1
12,51.74,620.92,Month-to-month,3,Fiber optic,No,Yes,Electronic check,Yes,1
20,54.5,1089.94,One year,4,Fiber optic,No,Yes,Mailed check,Yes,0
5,65.54,327.72,One year,8,DSL,Yes,No,Bank transfer,Yes,1
37,20.17,746.15,One year,3,DSL,Yes,Yes,Credit card,Yes,0
38,40.86,1552.55,Month-to-month,8,Fiber optic,No,No,Electronic check,Yes,1
9,61.46,553.16,One year,8,No,No,No,Electronic check,Yes,1
53,77.78,4122.2,One year,0,DSL,No,Yes,Electronic check,Yes,1
44,33.93,1493.03,Month-to-month,4,DSL,Yes,No,Credit card,No,1
24,63.75,1530.01,One year,8,Fiber optic,No,No,Electronic check,Yes,1
30,77.16,2314.7,One year,3,Fiber optic,No,No,Mailed check,No,1
59,55.57,3278.64,Month-to-month,4,Fiber optic,Yes,No,Credit card,Yes,1
14,22.17,310.33,Month-to-month,3,Fiber optic,Yes,No,Bank transfer,Yes,1
9,55.94,503.47,One year,1,No,No,No,Electronic check,Yes,1
40,43.72,1748.62,Month-to-month,9,Fiber optic,No,Yes,Credit card,Yes,1
66,94.37,6228.55,One year,1,DSL,No,Yes,Bank transfer,Yes,0
25,29.97,749.23,One year,1,Fiber optic,No,Yes,Bank transfer,No,0
22,72.2,1588.36,Two year,0,Fiber optic,Yes,No,Mailed check,Yes,0
4,24.22,96.87,One year,2,No,No,No,Bank transfer,No,1
26,55.69,1448.03,Month-to-month,9,DSL,No,Yes,Mailed check,Yes,1
58,64.32,3730.46,Month-to-month,0,DSL,Yes,No,Credit card,Yes,1
29,43.84,1271.26,Two year,3,DSL,No,Yes,Mailed check,No,0
37,56.41,2087.02,Month-to-month,0,Fiber optic,No,No,Credit card,No,1
70,33.08,2315.9,One year,3,DSL,No,Yes,Credit card,Yes,0
18,44.33,797.94,One year,2,Fiber optic,No,No,Electronic check,Yes,1
42,69.69,2926.92,Month-to-month,8,Fiber optic,No,Yes,Mailed check,Yes,1
41,44.14,1809.9,Month-to-month,0,Fiber optic,No,Yes,Credit card,Yes,1
38,91.98,3495.22,One year,7,Fiber optic,No,Yes,Electronic check,Yes,1
34,70.27,2389.27,Two year,8,No,Yes,No,Mailed check,No,0
17,55.09,936.56,Month-to-month,6,Fiber optic,No,No,Mailed check,Yes,1
37,23.1,854.72,Two year,0,DSL,Yes,Yes,Bank transfer,Yes,0
25,59.96,1499.1,One year,3,DSL,No,Yes,Electronic check,Yes,0
27,81.18,2191.92,Two year,9,Fiber optic,No,No,Bank transfer,Yes,1
57,41.24,2350.94,Month-to-month,0,DSL,Yes,No,Credit card,No,1
31,84.54,2620.8,Month-to-month,3,Fiber optic,Yes,No,Mailed check,Yes,1
6,40.14,240.87,Two year,2,No,No,No,Credit card,Yes,0
40,85.9,3435.99,Two year,1,Fiber optic,Yes,Yes,Electronic check,Yes,0
12,26.82,321.86,Month-to-month,0,DSL,Yes,No,Mailed check,Yes,1
53,89.29,4732.62,One year,5,DSL,No,No,Credit card,Yes,1
71,59.93,4255.38,Two year,6,No,No,Yes,Mailed check,No,0
10,43.72,437.23,Month-to-month,5,Fiber optic,No,No,Bank transfer,Yes,1
45,41.21,1854.41,One year,8,Fiber optic,No,Yes,Electronic check,No,1
17,54.56,927.53,Two year,8,DSL,No,Yes,Electronic check,Yes,1
26,99.92,2598.02,Month-to-month,1,Fiber optic,Yes,Yes,Electronic check,No,1
62,37.63,2332.82,Month-to-month,1,DSL,No,Yes,Mailed check,Yes,1
46,28.26,1299.84,One year,8,DSL,No,Yes,Credit card,Yes,1
64,66.8,4275.38,Month-to-month,0,DSL,No,No,Credit card,Yes,1
2,59.08,118.17,Month-to-month,4,Fiber optic,No,No,Electronic check,Yes,1
54,61.94,3344.53,Two year,0,DSL,Yes,No,Mailed check,Yes,0
65,73.35,4768.06,One year,6,DSL,No,Yes,Mailed check,No,1
51,41.37,2109.95,Two year,8,DSL,No,Yes,Mailed check,Yes,1
53,92.85,4921.22,Two year,5,Fiber optic,No,No,Credit card,Yes,1
36,54.85,1974.74,Month-to-month,1,Fiber optic,Yes,No,Electronic check,Yes,1
26,30.33,788.5,Month-to-month,5,DSL,No,No,Credit card,Yes,1
29,79.38,2302.13,Month-to-month,8,No,Yes,No,Bank transfer,No,1
21,71.45,1500.42,Month-to-month,2,Fiber optic,No,No,Mailed check,Yes,1
11,45.26,497.85,One year,8,DSL,Yes,Yes,Bank transfer,Yes,0
40,69.72,2788.86,One year,7,DSL,No,No,Electronic check,Yes,1
11,37.59,413.48,Month-to-month,6,Fiber optic,No,Yes,Electronic check,Yes,1
36,55.59,2001.14,Month-to-month,7,DSL,Yes,Yes,Credit card,Yes,1
59,91.95,5425.23,Month-to-month,9,DSL,No,No,Electronic check,Yes,1
39,30.68,1196.63,One year,5,Fiber optic,Yes,No,Electronic check,No,0
54,50.94,2750.53,Month-to-month,2,Fiber optic,No,No,Credit card,No,1
55,85.69,4713.03,Month-to-month,6,Fiber optic,No,Yes,Credit card,No,1
24,97.56,2341.42,One year,3,Fiber optic,Yes,No,Credit card,No,1
22,56.31,1238.91,Month-to-month,9,No,No,No,Credit card,Yes,1
69,60.56,4178.64,Month-to-month,4,DSL,No,Yes,Electronic check,Yes,1
56,65.77,3683.33,One year,7,DSL,Yes,No,Bank transfer,Yes,1
33,94.59,3121.4,Month-to-month,6,No,No,No,Credit card,Yes,1
36,88.66,3191.64,One year,6,Fiber optic,No,No,Electronic check,Yes,1
20,33.65,672.96,Month-to-month,7,Fiber optic,Yes,No,Electronic check,Yes,1
62,54.94,3406.32,Month-to-month,9,DSL,No,No,Electronic check,Yes,1
26,57.12,1485.12,Month-to-month,2,DSL,No,No,Electronic check,Yes,1
66,83.13,5486.43,Two year,2,DSL,Yes,No,Electronic check,Yes,0
40,68.23,2729.26,One year,1,Fiber optic,Yes,No,Credit card,Yes,1
17,72.34,1229.74,Two year,0,DSL,No,No,Credit card,No,0
1,99.86,99.86,One year,9,Fiber optic,No,Yes,Mailed check,No,1
61,26.0,1585.81,One year,5,Fiber optic,No,No,Mailed check,Yes,1
43,37.84,1627.15,Month-to-month,5,DSL,No,Yes,Credit card,No,1
42,52.63,2210.53,Month-to-month,9,DSL,No,No,Credit card,Yes,1
25,47.82,1195.56,Month-to-month,7,DSL,No,No,Credit card,Yes,1
39,21.73,847.53,Month-to-month,5,DSL,No,No,Bank transfer,Yes,1
35,27.34,956.98,Month-to-month,5,DSL,No,No,Credit card,Yes,1
3,74.48,223.43,Month-to-month,0,DSL,No,No,Electronic check,Yes,1
44,90.35,3975.22,Month-to-month,6,Fiber optic,No,No,Bank transfer,Yes,1
51,61.14,3118.05,Month-to-month,6,Fiber optic,No,No,Bank transfer,No,1
12,63.14,757.62,Month-to-month,9,DSL,Yes,Yes,Electronic check,No,1
19,40.41,767.74,One year,8,Fiber optic,Yes,Yes,Electronic check,Yes,1
44,81.43,3582.92,Two year,6,Fiber optic,No,No,Mailed check,Yes,1
59,80.14,4728.47,Month-to-month,7,Fiber optic,No,No,Electronic check,Yes,1
49,67.07,3286.39,Month-to-month,3,DSL,Yes,Yes,Credit card,No,0
61,37.01,2257.8,Month-to-month,8,Fiber optic,No,Yes,Credit card,Yes,1
17,27.76,471.94,Two year,0,Fiber optic,No,Yes,Mailed check,Yes,1
57,25.14,1432.93,Month-to-month,7,No,No,Yes,Bank transfer,No,1
55,67.42,3707.86,One year,2,No,No,Yes,Bank transfer,Yes,0
47,86.0,4042.13,Month-to-month,0,DSL,No,Yes,Mailed check,Yes,1
12,88.67,1064.0,Month-to-month,1,Fiber optic,Yes,Yes,Credit card,No,0
62,57.09,3539.57,Month-to-month,5,Fiber optic,No,No,Mailed check,Yes,1
8,82.74,661.93,Month-to-month,4,Fiber optic,No,Yes,Credit card,Yes,1
21,95.75,2010.76,Two year,2,Fiber optic,No,No,Credit card,Yes,1
70,42.01,2940.95,Month-to-month,8,DSL,No,No,Electronic check,Yes,1
25,51.84,1295.92,One year,7,DSL,Yes,Yes,Mailed check,No,0
12,94.52,1134.22,One year,2,Fiber optic,No,Yes,Mailed check,Yes,1
15,47.06,705.88,One year,1,Fiber optic,No,No,Credit card,No,1
59,93.11,5493.5,Month-to-month,7,No,No,Yes,Credit card,Yes,1
26,98.48,2560.57,Month-to-month,4,Fiber optic,Yes,No,Electronic check,Yes,1
26,72.94,1896.57,Month-to-month,8,DSL,No,No,Credit card,Yes,1
47,85.35,4011.51,Month-to-month,0,Fiber optic,Yes,No,Credit card,No,1
32,79.96,2558.84,One year,9,DSL,No,No,Bank transfer,Yes,1
10,75.96,759.63,Month-to-month,2,Fiber optic,No,No,Mailed check,Yes,1
16,44.55,712.87,One year,4,Fiber optic,No,No,Electronic check,Yes,1
71,24.57,1744.3,Month-to-month,1,DSL,No,No,Electronic check,No,1
17,47.44,806.55,Two year,2,DSL,No,No,Credit card,No,0
23,73.35,1687.16,Month-to-month,3,DSL,Yes,No,Mailed check,Yes,1
26,28.2,733.26,Month-to-month,3,DSL,Yes,Yes,Bank transfer,Yes,0
7,20.95,146.67,Two year,8,Fiber optic,No,Yes,Electronic check,Yes,1
14,31.18,436.46,Month-to-month,0,DSL,Yes,Yes,Credit card,Yes,0
7,77.26,540.81,Two year,8,DSL,Yes,No,Mailed check,Yes,1
9,97.82,880.41,Month-to-month,8,DSL,Yes,Yes,Bank transfer,Yes,1
48,98.65,4734.97,Month-to-month,5,Fiber optic,Yes,Yes,Mailed check,No,1
59,59.52,3511.58,One year,0,DSL,No,No,Electronic check,Yes,1
39,89.55,3492.38,Two year,5,DSL,No,Yes,Credit card,Yes,0
18,78.95,1421.03,Month-to-month,7,Fiber optic,No,No,Credit card,No,1
59,60.08,3544.91,Two year,4,DSL,No,No,Electronic check,No,0
17,65.82,1118.95,One year,4,DSL,Yes,No,Electronic check,Yes,0
14,30.98,433.69,Two year,0,Fiber optic,No,No,Mailed check,Yes,1
31,95.01,2945.4,Month-to-month,0,DSL,No,No,Electronic check,Yes,1
24,48.15,1155.71,Month-to-month,7,Fiber optic,No,No,Mailed check,Yes,1
60,55.69,3341.52,Two year,4,Fiber optic,No,Yes,Credit card,Yes,1
45,73.73,3317.98,Two year,7,Fiber optic,Yes,No,Bank transfer,No,1
3,46.71,140.14,Month-to-month,9,DSL,No,Yes,Credit card,Yes,1
37,40.34,1492.61,Month-to-month,1,Fiber optic,No,No,Credit card,No,1
43,70.48,3030.81,Month-to-month,3,Fiber optic,No,No,Bank transfer,Yes,1
40,22.0,879.95,One year,9,DSL,Yes,Yes,Bank transfer,Yes,0
55,77.66,4271.19,Month-to-month,8,DSL,No,No,Bank transfer,Yes,1
39,61.12,2383.75,Month-to-month,2,Fiber optic,Yes,No,Credit card,No,1
15,68.46,1026.9,Month-to-month,5,Fiber optic,Yes,Yes,Electronic check,Yes,1
4,70.55,282.2,One year,6,No,Yes,Yes,Credit card,Yes,1
25,62.16,1554.1,Month-to-month,2,Fiber optic,Yes,No,Electronic check,Yes,1
13,66.6,865.84,Month-to-month,0,Fiber optic,No,No,Mailed check,Yes,1
33,74.7,2465.2,One year,1,DSL,Yes,No,Credit card,Yes,0
16,80.25,1283.99,One year,9,Fiber optic,Yes,No,Bank transfer,Yes,1
42,78.2,3284.24,Month-to-month,6,No,Yes,No,Credit card,Yes,1
66,89.57,5911.57,Month-to-month,6,Fiber optic,Yes,No,Credit card,Yes,1
55,35.16,1933.55,One year,0,DSL,No,Yes,Bank transfer,Yes,0
42,52.09,2187.86,Two year,9,DSL,Yes,No,Mailed check,No,0
34,95.82,3258.01,One year,6,DSL,Yes,No,Mailed check,Yes,1
30,51.73,1551.82,Two year,9,Fiber optic,No,No,Mailed check,No,1
13,29.99,389.86,One year,5,No,Yes,No,Mailed check,Yes,0
13,62.04,806.46,One year,5,DSL,Yes,Yes,Credit card,Yes,0
18,28.76,517.67,Month-to-month,6,DSL,No,No,Credit card,Yes,1
32,36.23,1159.3,Month-to-month,6,Fiber optic,No,Yes,Bank transfer,Yes,1
39,99.87,3894.75,Month-to-month,0,No,No,Yes,Electronic check,Yes,1
46,63.31,2912.21,Month-to-month,9,Fiber optic,No,No,Bank transfer,Yes,1
29,42.72,1239.02,One year,4,DSL,No,Yes,Mailed check,Yes,0
62,99.58,6174.08,Month-to-month,7,DSL,Yes,Yes,Electronic check,Yes,1
62,97.32,6034.13,One year,7,Fiber optic,No,No,Bank transfer,Yes,1
57,55.26,3149.77,Month-to-month,2,Fiber optic,No,No,Mailed check,Yes,1
16,40.83,653.32,Month-to-month,2,DSL,No,No,Electronic check,Yes,1
56,87.07,4876.03,Two year,6,Fiber optic,No,No,Electronic check,Yes,1
10,77.25,772.5,Month-to-month,3,Fiber optic,No,No,Mailed check,Yes,1
30,74.96,2248.66,Month-to-month,5,Fiber optic,No,No,Electronic check,Yes,1
25,91.45,2286.23,Month-to-month,8,DSL,No,No,Bank transfer,Yes,1
5,75.15,375.77,Two year,9,No,No,Yes,Bank transfer,Yes,1
65,42.7,2775.75,Month-to-month,1,Fiber optic,No,No,Bank transfer,Yes,1
49,75.51,3699.94,One year,1,Fiber optic,No,Yes,Electronic check,Yes,1
3,44.47,133.4,Month-to-month,5,Fiber optic,Yes,No,Electronic check,Yes,1
